0,-1.35
2,-0.74
4,-0.16
6,0.37
8,0.84
10,1.34
12,1.81
14,2.61
16,5.74
19,17.00
21,-3.88
23,-4.70
25,9.90
27,-6.13
30,-1.39
32,0.12
34,-1.02
36,-3.31
38,-0.13
40,-2.52
42,-6.02
44,-3.62
47,-7.93
49,-3.78
51,-4.76
53,-5.46
55,-3.80
57,-7.45
59,-5.91
61,-6.86
63,-5.48
65,-3.48
67,-3.88
69,-3.55
72,-3.37
75,-4.09
77,-2.21
79,-1.64
81,-0.22
83,0.89
85,0.83
87,1.36
89,1.41
91,2.20
93,3.33
95,4.06
97,4.91
99,5.16
101,4.81
104,4.83
106,4.85
108,5.20
110,5.72
112,5.86
115,5.80
117,5.48
119,4.55
121,4.18
124,3.86
126,3.62
128,3.45
130,2.76
132,2.17
134,1.17
136,0.24
138,-0.40
140,-0.91
143,-1.50
145,-1.99
147,-2.62
149,-3.31
151,-4.03
153,-4.73
155,-4.94
158,-5.02
161,-5.07
163,-5.21
165,-5.40
167,-5.62
169,-5.58
171,-5.30
173,-4.88
175,-4.42
177,-3.82
180,-3.46
182,-3.10
184,-2.62
186,-2.01
188,-0.93
190,-0.26
192,0.35
194,0.88
197,1.39
200,1.88
202,2.76
204,3.33
206,3.94
208,4.30
210,4.49
212,4.60
214,4.76
217,4.91
219,5.13
221,5.25
223,5.25
225,4.95
227,4.59
229,4.23
231,3.88
233,3.55
236,3.27
238,2.69
240,2.26
243,1.52
245,0.73
247,0.03
249,-0.87
251,-1.28
254,-1.70
256,-2.21
258,-2.81
260,-3.71
262,-4.18
264,-4.46
266,-4.64
268,-4.73
270,-4.81
273,-5.06
275,-5.18
277,-5.19
279,-5.01
281,-4.70
283,-4.12
286,-3.76
288,-3.43
291,-3.07
293,-2.64
295,-1.80
297,-1.15
299,-0.53
301,0.04
303,0.58
305,1.05
308,1.80
310,2.37
312,2.90
314,3.38
316,3.84
318,4.12
320,4.30
322,4.44
324,4.54
328,4.69
330,4.85
332,4.83
334,4.71
336,4.44
338,4.11
340,3.79
342,3.47
344,3.00
347,2.67
349,2.30
351,1.65
353,0.95
355,0.29
357,-0.59
359,-0.99
361,-1.40
363,-1.86
366,-2.41
368,-3.27
371,-3.73
373,-4.05
375,-4.25
377,-4.36
379,-4.52
381,-4.66
384,-4.80
386,-4.83
388,-4.73
390,-4.34
392,-3.98
394,-3.64
396,6.59
398,17.00
401,-4.75
403,8.41
405,-6.57
407,-3.68
409,-6.46
411,-4.45
414,-3.70
416,0.52
419,-0.66
421,-1.75
423,-2.52
425,-5.50
427,-1.26
429,-0.14
431,1.50
433,2.07
435,0.19
438,0.23
440,-0.42
442,0.84
444,2.80
446,3.33
448,3.87
450,3.05
452,2.17
454,2.36
458,2.51
460,3.31
462,4.45
464,4.07
466,3.55
468,2.66
470,1.99
472,2.10
474,2.47
477,2.67
479,2.37
481,1.58
483,0.75
485,-0.03
487,-0.50
489,-0.37
491,-0.33
493,-0.58
496,-1.24
499,-2.07
501,-2.85
503,-2.96
505,-2.81
